Equation, Degree, Coefficients, Number of points, Epsilon, Connected components
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,250,0.3,65
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,250,0.25,78
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,250,0.2,104
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,250,0.15,103
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,250,0.1,134
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,500,0.3,117
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,500,0.25,126
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,500,0.15,170
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,500,0.1,221
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,750,0.3,142
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,750,0.25,166
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,750,0.2,198
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,750,0.15,242
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,750,0.1,270
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,1000,0.3,181
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,1000,0.25,201
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,1000,0.15,251
-31*u**2 - 28*v**3 + 43*w**3 - 1,3,102.0,1000,0.1,353
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,250,0.25,34
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,250,0.2,42
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,250,0.1,49
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,500,0.25,60
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,500,0.15,73
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,750,0.3,64
30*u**3 - 12*v**2 + 27*w**3 + 2,3,69.0,1000,0.25,117
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,250,0.3,21
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,250,0.15,55
